"Modes","Population","Travel motifs","Margins","Regions","Periods","Average distance per trip (passenger-kilometres)","Average travel duration per trip (minutes)"
"Bicycle","Population: 6 years or older","Total","Value","Utrecht (PV)","2021","4,06","22,22"
"Bicycle","Population: 6 years or older","Total","Value","Utrecht (PV)","2022","3,75","20,22"
"Bicycle","Population: 6 years or older","Total","Value","Utrecht (PV)","2023","3,89","20,13"
"Bicycle","Population: 6 years or older","Total","Value","North Holland (PV)","2018","4,04","21,16"
"Bicycle","Population: 6 years or older","Total","Value","North Holland (PV)","2019","3,87","21,77"
"Bicycle","Population: 6 years or older","Total","Value","North Holland (PV)","2020","4,18","24,32"
"Bicycle","Population: 6 years or older","Total","Value","North Holland (PV)","2021","4,13","24,18"
"Bicycle","Population: 6 years or older","Total","Value","North Holland (PV)","2022","3,94","22,98"
"Bicycle","Population: 6 years or older","Total","Value","North Holland (PV)","2023","3,93","22,32"
"Bicycle","Population: 6 years or older","Total","Value","South Holland (PV)","2018","3,93","20,83"
"Bicycle","Population: 6 years or older","Total","Value","South Holland (PV)","2019","3,97","21,89"
"Bicycle","Population: 6 years or older","Total","Value","South Holland (PV)","2020","4,23","24,86"
"Bicycle","Population: 6 years or older","Total","Value","South Holland (PV)","2021","4,20","25,21"
"Bicycle","Population: 6 years or older","Total","Value","South Holland (PV)","2022","3,95","22,25"
"Bicycle","Population: 6 years or older","Total","Value","South Holland (PV)","2023","3,92","22,03"
"Bicycle","Population: 6 years or older","Total","Value","Zeeland (PV)","2018","4,42","22,06"
"Bicycle","Population: 6 years or older","Total","Value","Zeeland (PV)","2019","4,14","21,16"
"Bicycle","Population: 6 years or older","Total","Value","Zeeland (PV)","2020","5,06","27,22"
"Bicycle","Population: 6 years or older","Total","Value","Zeeland (PV)","2021","4,52","26,16"
"Bicycle","Population: 6 years or older","Total","Value","Zeeland (PV)","2022","4,86","26,95"
"Bicycle","Population: 6 years or older","Total","Value","Zeeland (PV)","2023","4,10","22,27"
"Bicycle","Population: 6 years or older","Total","Value","North Brabant (PV)","2018","4,18","21,64"
"Bicycle","Population: 6 years or older","Total","Value","North Brabant (PV)","2019","4,19","22,72"
"Bicycle","Population: 6 years or older","Total","Value","North Brabant (PV)","2020","4,27","23,67"
"Bicycle","Population: 6 years or older","Total","Value","North Brabant (PV)","2021","4,08","22,52"
"Bicycle","Population: 6 years or older","Total","Value","North Brabant (PV)","2022","4,37","23,70"
"Bicycle","Population: 6 years or older","Total","Value","North Brabant (PV)","2023","4,28","22,43"
"Bicycle","Population: 6 years or older","Total","Value","Limburg (PV)","2018","4,38","23,71"
"Bicycle","Population: 6 years or older","Total","Value","Limburg (PV)","2019","4,44","24,96"
"Bicycle","Population: 6 years or older","Total","Value","Limburg (PV)","2020","4,40","24,74"
"Bicycle","Population: 6 years or older","Total","Value","Limburg (PV)","2021","5,06","29,75"
"Source: CBS."
