Modes,Population,Travel motifs,Margins,Regions,Periods,Average distance per trip (passenger-kilometres),Average travel duration per trip (minutes),Year
Bicycle,Population: 6 years or older,Total,Value,Utrecht (PV),2018.0,3.95,19.62,2018
Bicycle,Population: 6 years or older,Total,Value,Utrecht (PV),2019.0,3.72,19.54,2019
Bicycle,Population: 6 years or older,Total,Value,Utrecht (PV),2020.0,3.85,21.95,2020
Bicycle,Population: 6 years or older,Total,Value,Utrecht (PV),2021.0,4.06,22.22,2021
Bicycle,Population: 6 years or older,Total,Value,Utrecht (PV),2022.0,3.75,20.22,2022
Bicycle,Population: 6 years or older,Total,Value,Utrecht (PV),2023.0,3.89,20.13,2023
Bicycle,Population: 6 years or older,Total,Value,North Holland (PV),2018.0,4.04,21.16,2018
Bicycle,Population: 6 years or older,Total,Value,North Holland (PV),2019.0,3.87,21.77,2019
Bicycle,Population: 6 years or older,Total,Value,North Holland (PV),2020.0,4.18,24.32,2020
Bicycle,Population: 6 years or older,Total,Value,North Holland (PV),2021.0,4.13,24.18,2021
Bicycle,Population: 6 years or older,Total,Value,North Holland (PV),2022.0,3.94,22.98,2022
Bicycle,Population: 6 years or older,Total,Value,North Holland (PV),2023.0,3.93,22.32,2023
Bicycle,Population: 6 years or older,Total,Value,South Holland (PV),2018.0,3.93,20.83,2018
Bicycle,Population: 6 years or older,Total,Value,South Holland (PV),2019.0,3.97,21.89,2019
Bicycle,Population: 6 years or older,Total,Value,South Holland (PV),2020.0,4.23,24.86,2020
Bicycle,Population: 6 years or older,Total,Value,South Holland (PV),2021.0,4.2,25.21,2021
Bicycle,Population: 6 years or older,Total,Value,South Holland (PV),2022.0,3.95,22.25,2022
Bicycle,Population: 6 years or older,Total,Value,South Holland (PV),2023.0,3.92,22.03,2023
Bicycle,Population: 6 years or older,Total,Value,Zeeland (PV),2018.0,4.42,22.06,2018
Bicycle,Population: 6 years or older,Total,Value,Zeeland (PV),2019.0,4.14,21.16,2019
Bicycle,Population: 6 years or older,Total,Value,Zeeland (PV),2020.0,5.06,27.22,2020
Bicycle,Population: 6 years or older,Total,Value,Zeeland (PV),2021.0,4.52,26.16,2021
Bicycle,Population: 6 years or older,Total,Value,Zeeland (PV),2022.0,4.86,26.95,2022
Bicycle,Population: 6 years or older,Total,Value,Zeeland (PV),2023.0,4.1,22.27,2023
Bicycle,Population: 6 years or older,Total,Value,North Brabant (PV),2018.0,4.18,21.64,2018
Bicycle,Population: 6 years or older,Total,Value,North Brabant (PV),2019.0,4.19,22.72,2019
Bicycle,Population: 6 years or older,Total,Value,North Brabant (PV),2020.0,4.27,23.67,2020
Bicycle,Population: 6 years or older,Total,Value,North Brabant (PV),2021.0,4.08,22.52,2021
Bicycle,Population: 6 years or older,Total,Value,North Brabant (PV),2022.0,4.37,23.7,2022
Bicycle,Population: 6 years or older,Total,Value,North Brabant (PV),2023.0,4.28,22.43,2023
Bicycle,Population: 6 years or older,Total,Value,Limburg (PV),2018.0,4.38,23.71,2018
Bicycle,Population: 6 years or older,Total,Value,Limburg (PV),2019.0,4.44,24.96,2019
Bicycle,Population: 6 years or older,Total,Value,Limburg (PV),2020.0,4.4,24.74,2020
Bicycle,Population: 6 years or older,Total,Value,Limburg (PV),2021.0,5.06,29.75,2021
